Receta,Platillos_Base,Ingrediente,Cantidad_Base,Unidad
Salsa para tamales,2.0,Chiles jalapeños,10.0,pza
Salsa para tamales,2.0,Chiles serranos,5.0,pza
Salsa para tamales,2.0,Cebolla Chica,1.0,pza
Salsa para tamales,2.0,Tomatillos,4.0,pza
Salsa para tamales,2.0,Cilantro,0.5,Manojo
Pechuga,60.0,Caja de pechugas,1.5,Pza
Pechuga,60.0,Queso crema,1.0,Barra
Pechuga,60.0,Champiñones,1.0,Lata
Pechuga,60.0,Espaguetti,1.0,Pkt
Pechuga,60.0,Chile poblano,10.0,pza
Pechuga,60.0,Espinaca,3.0,Manojo
Pechuga,60.0,Papa,6.0,Kg
Pechuga,60.0,Mantequilla,2.0,Bote
Pechuga,60.0,Pan,3.0,Pkt
Pechuga,60.0,Knoor,100.0,gr
